Teste,TempoResposta_ms
1,422.4717617034912
2,437.34002113342285
3,426.13816261291504
4,423.4011173248291
5,415.5383110046387
6,497.8969097137451
7,423.7210750579834
8,412.24193572998047
9,423.4910011291504
10,424.84426498413086
